Author,Repo Name,Description,Programming Language,Stars,Fork,Top Contributors,Stars Today
TadasBaltrusaitis,OpenFace,"OpenFace – a state-of-the art tool intended for facial landmark detection, head pose estimation, facial action unit recognition, and eye-gaze estimation.",MATLAB,7218,1875,"TadasBaltrusaitis, simonmssu, fxfactorial, dshahrokhian, chiragraman",2
ProjectTSB,TheSkyBlessing,TheSkyBlessing のベース Datapack のリポジトリ,mcfunction,76,7,"ChenCMD, haiiro2gou, Lapis-LJA, quikku, Chuzume",1
twbs,bootstrap,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.",MDX,172233,79069,"mdo, cvrebert, XhmikosR, fat, dependabot",16
withastro,docs,Astro documentation,MDX,1445,1646,"yanthomasdev, sarah11918, jsparkdev, delucis, dreyfus92",2
meshtastic,meshtastic,Meshtastic project website and documentation,MDX,903,554,"rcarteraz, pdxlocations, jfirwin, sachaw, garthvh",3
e2b-dev,E2B,Secure open source cloud runtime for AI apps & AI agents,MDX,8001,534,"ValentaTomas, mlejva, jakubno, github-actions, 0div",4
feature-sliced,documentation,🍰 Architectural methodology for frontend projects,MDX,1844,195,"azinit, illright, AlexandrHoroshih, unordinarity, Krakazybik",3
base,web,,MDX,406,809,"brendan-defi, kirkas, JFrankfurt, zencephalon, wbnns",1
newrelic,docs-website,Source code for @newrelic docs. We welcome pull requests and questions on our docs!,MDX,184,1340,"zuluecho9, rhetoric101, ally-sassman, homelessbirds, akristen",0
e2b-dev,desktop,E2B Desktop Sandbox for LLMs. E2B Sandbox with desktop graphical environment that you can connect to any LLM for secure computer use.,MDX,607,67,"mlejva, mishushakov, ValentaTomas, 0div, github-actions",3
MetaMask,metamask-docs,Developer documentation for MetaMask,MDX,727,1182,"alexandratran, Montoya, ziad-saab, BboyAkers, dependabot",0
huggingface,deep-rl-class,This repo contains the Hugging Face Deep Reinforcement Learning Course.,MDX,4257,673,"simoninithomas, osanseviero, sayakpaul, dylwil3, josejuanmartinez",5
react-native-elements,react-native-elements,Cross-Platform React Native UI Toolkit,MDX,25376,4673,"iRoachie, arpitBhalla, Monte9, dabit3, react-native-elements-ci",3
getsentry,sentry-docs,Sentry's documentation (and tools to build it),MDX,377,1539,"dcramer, lizokm, imatwawana, bruno-garcia, MimiDumpling",0
npm,documentation,"Documentation for the npm registry, website, and command-line interface.",MDX,460,3077,"dependabot, lukekarrys, npm-cli-bot, MylesBorins, ethomson",0
openai,openai-cookbook,Examples and guides for using the OpenAI API,MDX,63434,10312,"ted-at-openai, simonpfish, colin-openai, logankilpatrick, shyamal-anadkat",43
gpxstudio,gpx.studio,the online GPX file editor,MDX,405,71,"vcoppe, mbof, pdonias, raphaklaus, DePasqualeOrg",3
uidotdev,usehooks,"A collection of modern, server-safe React hooks – from the ui.dev team",MDX,10478,550,"gragland, tylermcginnis, benadam11, nikasepiskveradze, bozheville",4
yangshun,front-end-interview-handbook,🌐 Front End interview preparation materials for busy engineers,MDX,42768,5891,"yangshun, niteshseram, ysm-dev, dependabot, AlwaysHacking",9
ClickHouse,clickhouse-docs,Official documentation for ClickHouse,MDX,132,320,"DanRoscigno, Blargian, gingerwizard, justindeguzman, rfraposa",0
codewars,docs,The Codewars Docs 🚧 WIP,MDX,58,222,"kazk, hobovsky, Blind4Basics, ggorlen, dependabot",0
chronark,chronark.com,,MDX,753,429,"chronark, liuxuan30, dodyagung, c0nf1den71al, ryanmalani",0
shuding,nextra-docs-template,Nextra docs template,MDX,1182,658,"shuding, EndangeredMassa, C-EO",1
dotnet,EntityFramework.Docs,Documentation for Entity Framework Core and Entity Framework 6,Mermaid,1666,1970,"divega, roji, rowanmiller, ajcvickers, bricelam",0
MicrosoftDocs,power-automate-docs,,Mermaid,303,298,"MSFTMan, v-aangie, georgiostrantzas, buck1ey, DanaMartens",0
frida,frida,Clone this repo to build Frida,Meson,17447,1779,"oleavr, s1341, karltk, tyilo, mephi42",12
twostraws,Inferno,Metal shaders for SwiftUI.,Metal,2598,119,"twostraws, ynagatomo, psalzAppDev, frankschlegel, Czajnikowski",5
openxla,stablehlo,Backward compatible ML compute opset inspired by HLO/MHLO,MLIR,467,135,"ghpvnist, GleasonK, burmako, sdasgup3, mlevesquedion",0
tenstorrent,tt-mlir,Tenstorrent MLIR compiler,MLIR,120,24,"nsmithtt, vmilosevic, kmabeeTT, jnie-TT, tapspatel",0
OpenModelica,OpenModelica,OpenModelica is an open-source Modelica-based modeling and simulation environment intended for industrial and academic usage.,Modelica,952,318,"sjoelund, perost, adrpo, adeas31, lochel",0
modular,max,The MAX Platform (includes Mojo),Mojo,23873,2594,"abduld, lattner, JoeLoser, modularbot, jackos",13
LayerZero-Labs,LayerZero-v2,,Move,632,392,"carmenjiawenc, zouguangxian, cowboyisaac, ziming-zung, ryandgoulding",0
aws,eks-charts,Amazon EKS Helm chart repository,Mustache,1241,1007,"eks-bot, stefanprodan, jaypipes, kishorj, bwagner5",0
argoproj,argo-helm,ArgoProj Helm Charts,Mustache,1920,1935,"mkilchhofer, yu-croco, pdrastil, mbevc1, jmeridth",2
amzn,selling-partner-api-models,This repository contains OpenAPI models for developers to use when developing software to call Selling Partner APIs.,Mustache,671,756,"jevoniuk, waldrogi, salric, mentiaa, rickdeee",0
swagger-api,swagger-codegen,"swagger-codegen contains a template-driven engine to generate documentation, API clients and server stubs in different languages by parsing your OpenAPI / Swagger definition.",Mustache,17337,6035,"wing328, fehguy, HugoMario, xhh, frantuma",3
prometheus-community,helm-charts,Prometheus community Helm charts,Mustache,5464,5180,"monotek, zanhsieh, zeritti, jkroepke, DrFaust92",3
Kong,charts,Helm charts for Kong,Mustache,262,486,"rainest, pmalek, czeslavo, hbagdi, mflendrich",0
fluent,helm-charts,Helm Charts for Fluentd and Fluent Bit,Mustache,408,473,"naseemkullah, stevehipwell, patrick-stephens, dioguerra, sebbrandt87",0
vmware-tanzu,helm-charts,Contains Helm charts for Kubernetes related open source tools,Mustache,269,381,"jenting, carlisia, ywk253100, cpanato, nrb",0
temporalio,helm-charts,Temporal Helm charts,Mustache,369,386,"temporal-data, robholland, alexshtin, wxing1292, mastermanu",0
goharbor,harbor-helm,The helm chart to deploy Harbor,Mustache,1273,783,"ywk253100, reasonerjt, heww, MinerYang, ninjadq",2
kubecost,cost-analyzer-helm-chart,Kubecost helm chart,Mustache,521,422,"AjayTripathy, mbolt35, jessegoodier, chipzoller, dwbrown2",0
sentry-kubernetes,charts,Easily deploy Sentry on your Kubernetes Cluster,Mustache,1184,540,"Mokto, actions-user, patsevanton, renovate, adonskoy",0
codecentric,helm-charts,A curated set of Helm charts brought to you by codecentric,Mustache,641,613,"unguiculus, cc-charts-bot, mircohacker, thomasdarimont, grieshaber",0
jenkinsci,helm-charts,Jenkins helm charts,Mustache,604,899,"timja, jenkins-dependency-updater, torstenwalter, dependabot, NotMyFault",0
thmsgbrt,thmsgbrt,My awesome README.md,Mustache,485,1044,"thmsgbrt, dependabot, Devesh225",0
netbox-community,netbox-chart,A Helm chart for NetBox,Mustache,287,171,"renovate, LeoColomb, RangerRick, bootc, dependabot",0
nf-core,modules,Repository to host tool-specific module files for the Nextflow DSL2 community!,Nextflow,355,837,"drpatelh, jfy133, maxulysse, nvnieuwk, GallVp",0
nf-core,rnaseq,"RNA sequencing analysis pipeline using STAR, RSEM, HISAT2 or Salmon with gene/isoform counts and extensive quality control.",Nextflow,1016,750,"drpatelh, pinin4fjords, ewels, maxulysse, apeltzer",0
zedeus,nitter,Alternative Twitter front-end,Nim,10815,573,"zedeus, LainLayer, jackyzy823, setenforce0, PeterDaveHello",3
nim-lang,Nim,"Nim is a statically typed compiled systems programming language. It combines successful concepts from mature languages like Python, Ada and Modula. Its design focuses on efficiency, expressiveness, and elegance (in that order of priority).",Nim,17005,1490,"Araq, traviscibot, ringabout, dom96, github-actions",4
danth,stylix,"Theming framework for NixOS, Home Manager, nix-darwin, and Nix-on-Droid",Nix,1566,209,"danth, trueNAHO, awwpotato, Flameopathic, dwarfmaster",6
NixOS,nixpkgs,Nix Packages collection & NixOS,Nix,20098,15464,"r-ryantm, fabaff, SuperSandro2000, NickCao, mweinelt",15
cachix,devenv,"Fast, Declarative, Reproducible, and Composable Developer Environments using Nix",Nix,5061,377,"domenkozar, sandydoo, github-actions, bobvanderlinden, shyim",4
catppuccin,nix,❄️ Soothing pastel theme for Nix,Nix,508,63,"getchoo, github-actions, isabelroses, Stonks3141, Anomalocaridid",0
NixOS,nixos-hardware,A collection of NixOS modules covering hardware quirks.,Nix,2355,727,"Mic92, mexisme, lukateras, bors, Lyndeno",3
nix-community,nixvim,"Configure Neovim with Nix! [maintainers=@GaetanLepage, @traxys, @MattSturgeon, @khaneliman]",Nix,2127,317,"GaetanLepage, MattSturgeon, khaneliman, github-actions, pta2002",1
nix-community,home-manager,Manage a user environment using Nix [maintainer=@rycee],Nix,7907,1996,"rycee, khaneliman, ncfavier, berbiche, teto",2
the-nix-way,dev-templates,Dev environments for numerous languages based on Nix flakes [maintainer=@lucperkins],Nix,1600,132,"lucperkins, stephenstubbs, joelbenway, sebaszv, nothingmuch",1
NotAShelf,nvf,"Modular, extensible and distro-agnostic Neovim configuration framework for Nix/NixOS",Nix,762,98,"NotAShelf, actions-user, horriblename, n3oney, diniamo",2
mitchellh,nixos-config,My NixOS configurations.,Nix,2404,222,"mitchellh, klivan, supermarin, fud, lucamaraschi",3
Misterio77,nix-starter-configs,Simple and documented config templates to help you get started with NixOS + home-manager + flakes. All the boilerplate you need!,Nix,3032,155,"Misterio77, axgfn, YanniPapandreou, musjj, Gerg-L",4
nix-community,nixos-generators,Collection of image builders [maintainer=@Lassulus],Nix,2065,149,"Lassulus, github-actions, Mic92, dependabot, DavHau",2
h5bp,Front-end-Developer-Interview-Questions,"A list of helpful front-end related questions you can use to interview potential candidates, test yourself or completely ignore.",Nunjucks,60257,11098,"darcyclarke, roblarsen, dependabot, appleboy, cezaraugusto",7
madrilene,eleventy-excellent,Eleventy starter based on the workflow suggested by Andy Bell's buildexcellentwebsit.es.,Nunjucks,466,88,"madrilene, krgr, httpsterio, jducrot, erikyuzwa",1
omerxx,dotfiles,My dotfiles synced from localhost and remote machines,Nushell,1826,150,"omerxx, mattst88, assafdori, JZsmitty",3
SDWebImage,SDWebImage,Asynchronous image downloader with cache support as a UIImageView category,Objective-C,25254,5972,"dreampiggy, bpoplauschi, zhongwuzw, kinarobin, mythodeia",3
openid,AppAuth-iOS,iOS and macOS SDK for communicating with OAuth 2.0 and OpenID Connect providers.,Objective-C,1844,797,"WilliamDenniss, petea, julienbodet, mdmathias, iainmcgin",2
sparkle-project,Sparkle,A software update framework for macOS,Objective-C,7733,1060,"zorgiepoo, kornelski, andymatuschak, jakepetroules, uliwitness",8
realm,realm-swift,Realm is a mobile database: a replacement for Core Data & SQLite,Objective-C,16463,2170,"tgoyne, jpsim, alazier, mekjaer, bdash",1
FLEXTool,FLEX,An in-app debugging and exploration tool for iOS,Objective-C,14295,1726,"NSExceptional, ryanolsonk, matrush, JaviSoto, TimOliver",2
adjust,ios_sdk,This is the iOS SDK of,Objective-C,634,301,"uerceg, nonelse, wellle, Aditi3, genadyb",0
google,GoogleSignIn-iOS,Enables iOS and macOS apps to sign in with Google.,Objective-C,577,219,"petea, mdmathias, Alex-4-Git, dependabot, brnnmrls",0
alexzielenski,Mousecape,Cursor Manager for OSX,Objective-C,1573,171,"alexzielenski, justin0a0, verhovsky",5
AFNetworking,AFNetworking,"A delightful networking framework for iOS, macOS, watchOS, and tvOS.",Objective-C,33441,10474,"mattt, kcharwood, SlaunchaMan, 0xced, kylef",2
google,promises,Promises is a modern framework that provides a synchronization construct for Swift and Objective-C.,Objective-C,3823,301,"shoumikhin, ykjchen, ncooke3, dmace2, eric",1
google,GoogleUtilities,,Objective-C,116,51,"paulb777, ncooke3, maksymmalyhin, ryanwilson, andrewheard",0
google,gtm-session-fetcher,Google Toolbox for Mac - Session Fetcher,Objective-C,258,158,"thomasvl, mwyman, sergiocampama, bhamiltoncx, paulb777",1
AliSoftware,OHHTTPStubs,"Stub your network requests easily! Test your apps with fake network data and custom response time, response code and headers!",Objective-C,5051,601,"AliSoftware, corinnekrych, MaxGabriel, jeffctown, JinlianWang",0
TimOliver,TOCropViewController,A view controller for iOS that allows users to crop portions of UIImage objects,Objective-C,4807,982,"TimOliver, XD-CI, huang-kun, chiformihai, tristangrichard",1
git-up,GitUp,The Git interface you've been missing all your life has finally arrived.,Objective-C,11655,1317,"swisspol, lucasderraugh, zwaldowski, lolgear, lapfelix",0
pocketsvg,PocketSVG,"Easily convert your SVG files into CGPaths, CAShapeLayers, and UIBezierPaths",Objective-C++,1687,244,"arielelkin, fjolnir, cysp, halseth, dlalic",0
textmate,textmate,TextMate is a graphical text editor for macOS 10.12 or later,Objective-C++,14311,1730,"sorbits, rdwampler, jtbandes, dusek, nanoant",2
zoontek,react-native-permissions,"An unified permissions API for React Native on iOS, Android and Windows.",Objective-C++,4210,846,"zoontek, yonahforst, adapptor-kurt, trestrantham, jochem725",2
facebookarchive,pop,"An extensible iOS and OS X animation library, useful for physics-based interactions.",Objective-C++,19656,2880,"kimon, grp, b3ll, jcbertin, nlutsenko",0
gree,unity-webview,,Objective-C++,2418,704,"KojiNakamaru, splhack, takeh1k0, n-yoda, dolow",2
sbmpost,AutoRaise,AutoRaise (and focus) a window when hovering over it with the mouse,Objective-C++,1899,68,"sbmpost, Dimentium, fathah1",1
semgrep,semgrep,Lightweight static analysis for many languages. Find bug variants with patterns that look like source code.,OCaml,11518,686,"aryx, brendongo, mjambon, IagoAbal, emjin",7
MinaProtocol,mina,"Mina is a cryptocurrency protocol with a constant size blockchain, improving scaling while maintaining decentralization and security.",OCaml,2036,566,"mrmr1993, psteckler, dkijania, deepthiskumar, lk86",1
ocaml,ocaml,"The core OCaml system: compilers, runtime system, base libraries",OCaml,5745,1136,"xavierleroy, gasche, dra27, alainfrisch, Octachron",3
opengrep,opengrep,🔎 Static code analysis engine to find security issues in code.,OCaml,1244,82,"mjambon, dimitris-m, semgrep-ci, IagoAbal, nmote",1
semgrep,ocaml-tree-sitter-core,OCaml code generator and runtime library for handling typed tree-sitter CSTs,OCaml,29,6,"mjambon, aryx, colleend, Ruin0x11, joseemds",0
facebook,infer,"A static analyzer for Java, C, C++, and Objective-C",OCaml,15187,2031,"jvillard, jberdine, dulmarod, skcho, sblackshear",2
kuis-isle3sw,IoPLMaterials,"Materials for the class ""Implementation of Programming Languages"" in Kyoto University.",OCaml,164,29,"ksuenaga, ushitora-anqou, smorimoto, hiromi-mi, taiseiKMC",1
semgrep,testo,Test framework for OCaml,OCaml,21,4,"mjambon, gjaldon, shonfeder, aryx, NoahTheDuke",0
bcpierce00,unison,Unison file synchronizer,OCaml,4513,243,"tleedjarv, gdt, bcpierce00, g-raud, ben-willmore",3
awslabs,s2n-bignum,,OCaml,156,29,"jargh, aqjune-aws, aqjune, justsmth, SalusaSecondus",0
janestreet,base,Standard library for OCaml,OCaml,904,136,"xclerc, trefis, aalekseyev, public-release, dkalinichenko-js",0
astrada,google-drive-ocamlfuse,FUSE filesystem over Google Drive,OCaml,5699,357,"astrada, rgrinberg, Cinemacloud, boonedoggle, Justintime50",0
andrejbauer,plzoo,Programming Languages Zoo,OCaml,1489,93,"andrejbauer, matijapretnar, steshaw, co-dan, amir",0
odin-lang,Odin,Odin Programming Language,Odin,8215,733,"gingerBill, Kelimion, laytan, Feoramund, flysand7",4
open-telemetry,semantic-conventions,"Defines standards for generating consistent, accessible telemetry across a variety of domains",Open Policy Agent,353,223,"lmolkova, trask, joaopgrassi, arminru, jsuereth",2
Azure,azure-policy,Repository for Azure Resource Policy built-in definitions and samples,Open Policy Agent,1561,1109,"pilor, cyl33922072, krnese, kenieva, gokmen-msft",0
BelfrySCAD,BOSL2,"The Belfry OpenScad Library, v2.0. An OpenSCAD library of shapes, masks, and manipulators to make working with OpenSCAD easier. BETA",OpenSCAD,1388,145,"revarbat, adrianVmariano, RAMilewski, RonaldoCMP, amatulic",1
ostat,gridfinity_extended_openscad,Gridfinity Extended OpenSCAD Model,OpenSCAD,423,56,"ostat, vector76, minchinweb, Monniasza, fmthoma",2
HeidiSQL,HeidiSQL,"A lightweight client for managing MariaDB, MySQL, SQL Server, PostgreSQL, SQLite, Interbase and Firebird, written in Delphi",Pascal,5083,480,"ansgarbecker, franciscoernestoteixeira, igitur, rentalhost, tgoncuoglu",4
cheat-engine,cheat-engine,Cheat Engine. A development environment focused on modding,Pascal,16018,2315,"cheat-engine, supMarco, mgrinzPlayer, rzndsa, BlankUserLing",6
HashLoad,horse,"Fast, opinionated, minimalist web framework for Delphi",Pascal,1222,224,"viniciussanchez, dliocode, gabrielbaltazar, hunsche, CarlosHe",1
salvadordf,CEF4Delphi,"CEF4Delphi is an open source project to embed Chromium-based browsers in applications made with Delphi or Lazarus/FPC for Windows, Linux and MacOS.",Pascal,1242,387,"salvadordf, ahausladen, ashumkin, paweld, GregSpa",0
jrsoftware,issrc,"Inno Setup is a free installer for Windows programs. First introduced in 1997, Inno Setup today rivals and even surpasses many commercial installers in feature set and stability.",Pascal,4597,968,"martijnlaan, jordanrussell, jogo-, dscho, KngStr",1
nofeletru,UsbAsp-flash,"Program allow you to program flash memory on the protocols spi, I2C, MicroWire. Supports CH341a, CH347, UsbAsp, AVRISP(LUFA), Arduino, FT232H.",Pascal,1043,207,"nofeletru, direstraits96, wc7086, systemcrash, MELERIX",1
doublecmd,doublecmd,Double Commander is a free cross platform open source file manager with two panels side by side.,Pascal,3128,221,"alexx2000, rich2014, denis-bisson, Skif-off, j2969719",2
FrankBijnen,ExifToolGui,A GUI for ExifTool,Pascal,526,26,"FrankBijnen, Temerold, wcxu21",2
brendangregg,FlameGraph,Stack trace visualizer,Perl,18106,2012,"brendangregg, versable, timbunce, shawn-sterling, knittl",11
AlDanial,cloc,"cloc counts blank lines, comment lines, and physical lines of source code in many programming languages.",Perl,20661,1052,"AlDanial, stsnel, wonderbird, jolkdarr, cbek",7
glpi-project,glpi-agent,GLPI Agent,Perl,289,75,"goneri, guillomovitch, g-bougard, ddurieux, devtom30",0
ocpi,ocpi,"The Open Charge Point Interface (OCPI) allows for a scalable, automated roaming setup between Charge Point Operators and e-Mobility Service Providers. It supports authorisation, charge point information exchange (incl transaction events), charge detail record exchange and finally, the exchange of smart-charging commands between parties.",Perl,491,214,"reinierl, Alan-Stewart, simonschllng, simonphilips, bramus",0
yaml,yaml-test-suite,"Comprehensive, language independent Test Suite for YAML",Perl,208,67,"ingydotnet, perlpunk, flyx, eemeli, rogpeppe",0
Gaius-Augustus,BRAKER,BRAKER is a pipeline for fully automated prediction of protein coding gene structures with GeneMark-ES/ET/EP/ETP and AUGUSTUS in novel eukaryotic genomes,Perl,400,87,"KatharinaHoff, tomasbruna, LarsGab, MarioStanke, FabianGumz",1
ddclient,ddclient,ddclient updates dynamic DNS entries for accounts on a wide range of dynamic DNS services.,Perl,2795,355,"rhansen, SuperSandro2000, LenardHess, wimpunk, dkerr64",4
inverse-inc,packetfence,"PacketFence is a fully supported, trusted, Free and Open Source network access control (NAC) solution. Boasting an impressive feature set including a captive-portal for registration and remediation, centralized wired and wireless management, powerful BYOD management options, 802.1X support, layer-2 isolation of problematic devices; PacketFence c…",Perl,1460,299,"jrouzierinverse, julsemaan, fdurand, satkunas, nqb",0
linux-test-project,lcov,LCOV,Perl,974,244,"henry2cox, oberpar, hartwork, nega0, bjornfor",1
sullo,nikto,Nikto web server scanner,Perl,9187,1306,"sullo, tautology0, opt9, pvdl, wireghoul",7
trinityrnaseq,trinityrnaseq,Trinity RNA-Seq de novo transcriptome assembly,Perl,855,319,"brianjohnhaas, benfulton, mr-c, g1o, GeorgescuC",1
adrienverge,openfortivpn,Client for PPP+TLS VPN tunnel services,Perl,2901,335,"DimitriPapadopoulos, mrbaseman, adrienverge, lkundrak, martinetd",0
major,MySQLTuner-perl,MySQLTuner is a script written in Perl that will assist you with your MySQL configuration and make recommendations for increased performance and stability.,Perl,9175,1292,"jmrenouard, major, grooverdan, netsandbox, longradix",0
lm-sensors,lm-sensors,lm-sensors repository,Perl,967,278,"groeck, olysonek, jschwender, rfdougherty, sibeream",0
centreon,centreon-plugins,Collection of standard plugins to discover and gather cloud-to-edge metrics and status across your whole IT infrastructure.,Perl,319,288,"garnier-quentin, Sims24, UrBnW, thibaults-centreon, omercier",0
SpiderLabs,owasp-modsecurity-crs,OWASP ModSecurity Core Rule Set (CRS) Project (Official Repository),Perl,2460,730,"lifeforms, dune73, fgsch, csanders-git, spartantri",0
fusioninventory,fusioninventory-agent,FusionInventory Agent,Perl,258,126,"goneri, guillomovitch, g-bougard, devtom30, po1vo",0
coollabsio,coolify,An open-source & self-hostable Heroku / Netlify / Vercel alternative.,PHP,40372,2416,"andrasbacsai, peaklabs-dev, ijpatricio, sawa-ko, theh2so4",54
filamentphp,filament,"A collection of beautiful full-stack components for Laravel. The perfect starting point for your next app. Using Livewire, Alpine.js and Tailwind CSS.",PHP,22872,3365,"danharrin, zepfietje, ryanscherler, ryangjchandler, ralphjsmit",25
grokability,snipe-it,A free open source IT asset/license management system,PHP,12063,3355,"snipe, marcusmoore, Godmartinz, uberbrady, spencerrlongg",32
composer,composer,Dependency Manager for PHP,PHP,28938,4614,"Seldaek, naderman, alcohol, igorw, curry684",3
firefly-iii,firefly-iii,Firefly III: a personal finances manager,PHP,18836,1669,"JC5, dependabot, github-actions, mergify, sephrat",29
magento,magento2,"Prior to making any Submission(s), you must sign an Adobe Contributor License Agreement, available here at: https://opensource.adobe.com/cla.html. All Submissions you make to Adobe Inc. and its affiliates, assigns and subsidiaries (collectively “Adobe”) are subject to the terms of the Adobe Contributor License Agreement.",PHP,11768,9356,"magento-engcom-team, slavvka, zakdma, okorshenko, rganin",2
guzzle,guzzle,"Guzzle, an extensible PHP HTTP client",PHP,23381,2398,"mtdowling, sagikazarmark, GrahamCampbell, Nyholm, gmponos",3
bagisto,bagisto,Free and open source laravel eCommerce platform,PHP,18031,2429,"jitendra-webkul, devansh-webkul, amit-webkul, shivendra-webkul, prashant-webkul",19
laravel,framework,The Laravel Framework.,PHP,33515,11324,"taylorotwell, GrahamCampbell, driesvints, TBlindaruk, themsaid",5
drush-ops,drush,"Drush is a command-line shell and scripting interface for Drupal, a veritable Swiss Army knife designed to make life easier for those who spend their working hours hacking away at the command prompt.",PHP,2353,1096,"weitzman, actions-user, greg-1-anderson, massgov-outsider, jonhattan",1
roots,sage,"WordPress starter theme with Laravel Blade components and templates, Tailwind CSS, and block editor support",PHP,12938,3066,"retlehs, swalkinshaw, QWp6t, austinpray, Log1x",4
roundcube,roundcubemail,The Roundcube Webmail suite,PHP,6217,1666,"alecpl, thomascube, johndoh, yllar, till",4
PHP-CS-Fixer,PHP-CS-Fixer,A tool to automatically fix PHP Coding Standards issues,PHP,13126,1599,"keradus, SpacePossum, kubawerlos, fabpot, julienfalque",3
barryvdh,laravel-dompdf,A DOMPDF Wrapper for Laravel,PHP,6957,985,"barryvdh, erikn69, GrahamCampbell, zaherg, kevinruscoe",1
phpmyadmin,phpmyadmin,A web interface for MySQL and MariaDB,PHP,7496,3470,"nijel, MauricioFauth, madhuracj, williamdes, weblate",14
twigphp,Twig,"Twig, the flexible, fast, and secure template language for PHP",PHP,8271,1276,"fabpot, derickr, nicolas-grekas, Tobion, hason",2
Seldaek,monolog,"Sends your logs to files, sockets, inboxes, databases and various web services",PHP,21206,1906,"Seldaek, stof, gmponos, msabramo, akalongman",3
phpseclib,phpseclib,PHP Secure Communications Library,PHP,5460,900,"terrafrost, bantu, phpsyscoder, jack-worman, cnelissen",1
nextcloud,all-in-one,📦 The official Nextcloud installation method. Provides easy deployment and maintenance with most features included in this one Nextcloud instance.,PHP,6625,757,"szaimen, dependabot, Zoey2936, nextcloud-command, docjyJ",13
DataDog,dd-trace-php,Datadog PHP Clients,PHP,522,163,"labbati, SammyK, morrisonlevi, pawelchcki, bwoebi",0
symfony,symfony,The Symfony PHP framework,PHP,30305,9599,"fabpot, nicolas-grekas, xabbuh, derrabus, chalasr",5
shopware,shopware,Shopware 6 is an open commerce platform based on Symfony Framework and Vue and supported by a worldwide community and more than 1.500 community extensions,PHP,3017,1074,"OliverSkroblin, pweyck, shyim, jleifeld, keulinho",0
plantuml-stdlib,C4-PlantUML,C4-PlantUML combines the benefits of PlantUML and the C4 model for providing a simple way of describing and communicate software architectures,PlantUML,6712,1124,"kirchsth, adrianvlupu, Potherca, RicardoNiepel, coldacid",3
pgpartman,pg_partman,Partition management extension for PostgreSQL,PLpgSQL,2278,290,"keithf4, jcoleman, bradediger, theory, vitaly-burovoy",3
tembo-io,pgmq,A lightweight message queue. Like AWS SQS and RSMQ but on Postgres.,PLpgSQL,3125,85,"ChuckHend, v0idpwn, tavallaie, theory, ianstanton",7
lfittl,activerecord-clean-db-structure,Automatic cleanup for the Rails db/structure.sql file (ActiveRecord/PostgreSQL),PLpgSQL,149,38,"lfittl, ghiculescu, andyatkinson, dependabot, nvanoorschot",0
TryGhost,node-sqlite3,SQLite3 bindings for Node.js,PLpgSQL,6329,831,"kkaefer, daniellockyer, Mithgol, kewde, orlandov",0
digoal,blog,"Opensource,Database,AI,Business,Minds. git clone --depth 1 https://github.com/digoal/blog",PLpgSQL,8204,1895,"digoal, EamonZhang, andrelaszlo, lonecloud, DarkForcesX",2
timescale,pgai,"A suite of tools to develop RAG, semantic search, and other AI applications more easily with PostgreSQL",PLpgSQL,4714,249,"jgpruitt, JamesGuthrie, billy-the-fish, alejandrodnm, Askir",6
openmaptiles,openmaptiles,OpenMapTiles Vector Tile Schema Implementation,PLpgSQL,2687,614,"lukasmartinelli, jirik, nyurik, ImreSamu, ZeLonewolf",1
actions,runner-images,GitHub Actions runner images,PowerShell,11001,3306,"github-actions, 459680, al-cheb, miketimofeev",5
cisagov,ScubaGear,Automation to assess the state of your M365 tenant against CISA's baselines,PowerShell,2096,281,"schrolla, buidav, crutchfield, james-garriss, adhilto",0
ntdevlabs,tiny11builder,Scripts to build a trimmed-down Windows 11 image.,PowerShell,11744,958,"ntdevlabs, Karl-WE, szepeviktor, eugenesan, rcmaehl",29
ChrisTitusTech,winutil,"Chris Titus Tech's Windows Utility - Install Programs, Tweaks, Fixes, and Updates",PowerShell,32781,1836,"ChrisTitusTech, MyDrift-user, og-mrk, Marterich, CodingWonders",32
SpecterOps,BloodHound-Legacy,Six Degrees of Domain Admin,PowerShell,10148,1759,"rvazarkar, andyrobbins, JonasBK, HarmJ0y, ShutdownRepo",4
jenkinsci,docker,Docker official jenkins repo,PowerShell,6950,4606,"dependabot, carlossg, MarkEWaite, dduportal, github-actions",1
xiv3r,Burpsuite-Professional,Latest Burpsuite Professional Version 2025.*.*,PowerShell,637,190,"xiv3r, rabin-thami, ruban-s, powerstone666",7
hak5,usbrubberducky-payloads,The Official USB Rubber Ducky Payload Repository,PowerShell,4710,1463,"aleff-github, dallaswinger, hak5darren, 0i41E, hak5peaks",5
microsoft,ARI,Azure Resource Inventory - It's a Powerful tool to create EXCEL inventory from Azure Resources with low effort,PowerShell,1259,430,"Claudio-Merola, ClaudioMerola, RenatoGregio, EdneiMonteiro, quintindk",10
Azure,Enterprise-Scale,"The Azure Landing Zones (Enterprise-Scale) architecture provides prescriptive guidance coupled with Azure best practices, and it follows design principles across the critical design areas for organizations to define their Azure architecture",PowerShell,1794,1005,"jtracey93, krnese, github-actions, Springstone, hjscherer",0
PowerShellMafia,PowerSploit,PowerSploit - A PowerShell Post-Exploitation Framework,PowerShell,12275,4662,"HarmJ0y, clymb3r, obscuresec, webstersprodigy, FuzzySecurity",2
