Author,Repo Name,Description,Programming Language,Stars,Fork,Top Contributors,Stars Today
rajnandan1,kener,"Stunning status pages, batteries included!",Svelte,3708,173,"rajnandan1, kaffolder7, otherwiseGG, cosmic-jellyfish",3
sveltejs,svelte.dev,The Svelte omnisite,Svelte,165,145,"Rich-Harris, github-actions, dummdidumm, svelte-docs-bot, benmccann",0
zerebos,ghostty-config,A beautiful config generator for Ghostty terminal.,Svelte,1120,21,"zerebos, phillip-hirsch, hartzell, mefengl",4
matt8707,ha-fusion,"A modern, easy-to-use and performant custom Home Assistant dashboard",Svelte,2602,135,"matt8707, carsten-walther, EvanBarbour3, xrolfex, anarion80",3
classroomio,classroomio,"The Open Source Education Platform. A Simple and Beautiful Alternative to Moodle LMS, EdX, Thinkific and Teachable",Svelte,875,165,"rotimi-best, Chifez, tunny17, digdippa, codiini",0
themesberg,flowbite-svelte,Official Svelte components built for Flowbite and Tailwind CSS,Svelte,2453,292,"shinokada, jjagielka, zoltanszogyenyi, orefalo, RyanZhiNie",1
imputnet,cobalt,best way to save what you love,Svelte,31128,2597,"wukko, dumbmoron, Snazzah, lexito-o, hyperdefined",42
dbgate,dbgate,"Database manager for MySQL, PostgreSQL, SQL Server, MongoDB, SQLite and others. Runs under Windows, Linux, Mac or as web application",Svelte,5980,351,"janproch, Nybkox, ProjectInfinity, dependabot, Bare7a",5
drips-network,app,💧 Funding that flows — Drips Frontend,Svelte,42,19,"efstajas, evvvritt, jtourkos, dependabot, mhgbrown",0
ChurchApps,FreeShow,"FreeShow is a free and open-source, user-friendly presenter software.",Svelte,704,125,"vassbo, jzongker, lubomsky, eeickmeyer, DAcodedBEAT",1
tandpfun,skill-icons,Showcase your skills on your Github readme or resumé with ease ✨,SVG,9047,1267,"tandpfun, ThatOneCalculator, LelouchFR, danielcshn, Muh-Hamza-99",10
n3r4zzurr0,svg-spinners,A collection of 24 x 24 dp SVG spinners! (CSS & SMIL),SVG,6495,841,"n3r4zzurr0, claviering, ephraimduncan",0
groue,GRDB.swift,"A toolkit for SQLite databases, with a focus on application development",Swift,7374,744,"groue, pakko972, swiftlyfalling, sobri909, mallman",5
pointfreeco,swift-composable-architecture,"A library for building applications in a consistent and understandable way, with composition, testing, and ergonomics in mind.",Swift,13151,1511,"stephencelis, mbrandonw, tgrapperon, iampatbrown, Jager-yoo",8
airbnb,lottie-ios,An iOS library to natively render After Effects vector animations,Swift,26184,3785,"buba447, calda, thedrick, Coeur, marcelofabri",7
onevcat,Kingfisher,"A lightweight, pure-Swift library for downloading and caching images from the web.",Swift,23800,2694,"onevcat, lixiang1994, dstranz, xspyhack, wangshuaiguo",4
nikitabobko,AeroSpace,AeroSpace is an i3-like tiling window manager for macOS,Swift,11707,230,"nikitabobko, jakenvac, Henkru, rickyz, bashor",19
mapbox,mapbox-maps-ios,"Interactive, thoroughly customizable maps for iOS powered by vector tiles and Metal",Swift,519,173,"evil159, OdNairy, macdrevx, persidskiy, maios",0
apple,swift-collections,Commonly used data structures for Swift,Swift,3990,327,"lorentey, msteindorfer, vanvoorden, shahmishal, compnerd",2
facebook,facebook-ios-sdk,Used to integrate the Facebook Platform with your iOS & tvOS apps.,Swift,7867,3603,"joesus, jawwad, samodom, KylinChang, tianqibt",0
Whisky-App,Whisky,A modern Wine wrapper for macOS built with SwiftUI,Swift,14412,355,"IsaacMarovitz, ohaiibuzzle, Mika412, cuba, alexsch01",28
getsentry,sentry-cocoa,"The official Sentry SDK for iOS, tvOS, macOS, watchOS.",Swift,886,346,"philipphofmann, HazAT, brustolin, armcknight, getsentry-bot",2
pointfreeco,swift-dependencies,"A dependency management library inspired by SwiftUI's ""environment.""",Swift,1814,147,"mbrandonw, stephencelis, finestructure, oronbz, tgrapperon",2
Alamofire,Alamofire,Elegant HTTP Networking in Swift,Swift,41860,7609,"cnoon, jshier, mattt, kylef, kcharwood",6
apple,swift-nio,"Event-driven network application framework for high performance protocol servers & clients, non-blocking.",Swift,8109,663,"weissi, Lukasa, normanmaurer, glbrntt, FranzBusch",1
apollographql,apollo-ios,"📱  A strongly-typed, caching GraphQL client for iOS, written in Swift.",Swift,3942,746,"designatednerd, martijnwalraven, renovate-bot, calvincestari, AnthonyMDev",2
pointfreeco,swift-snapshot-testing,📸 Delightful Swift snapshot testing.,Swift,3912,605,"stephencelis, mbrandonw, valeriyvan, Sherlouk, finestructure",0
CodeEditApp,CodeEdit,"📝 CodeEdit App for macOS – Elevate your code editing experience. Open source, free forever.",Swift,21639,1066,"lukepistrol, austincondiff, 0xWDG, pkasila, nanashili",5
AzureAD,microsoft-authentication-library-for-objc,Microsoft Authentication Library (MSAL) for iOS and macOS,Swift,288,145,"oldalton, rohitnarula7176, unpluggedk, antrix1989, ameyapat",0
realm,SwiftLint,A tool to enforce Swift style and conventions.,Swift,18941,2246,"jpsim, marcelofabri, norio-nomura, SimplyDanny, scottrhoyt",0
gonzalezreal,swift-markdown-ui,Display and customize Markdown text in SwiftUI,Swift,3115,399,"gonzalezreal, MojtabaHs, kirkbig, mikelikespie, tapsandswipes",5
ChartsOrg,Charts,Beautiful charts for iOS/tvOS/OSX! The Apple side of the crossplatform MPAndroidChart.,Swift,27831,6029,"danielgindi, pmairoldi, liuxuan30, jjatie, mathewa6",2
lucaszischka,BottomSheet,A sliding Sheet from the bottom of the Screen with 3 States build with SwiftUI.,Swift,1130,150,"lucaszischka, juhieta, spnkr, matthiaskmt, Feuerwerk",0
ReactiveX,RxSwift,Reactive Programming in Swift,Swift,24549,4181,"kzaher, freak4pc, sergdort, yury, carlosypunto",1
RevenueCat,purchases-ios,"In-app purchases and subscriptions made easy. Support for iOS, watchOS, tvOS, macOS, and visionOS.",Swift,2580,349,"NachoSoto, aboedo, jeiting, vegaro, RCGitBot",3
tpaviot,pythonocc-core,Python package for 3D geometry CAD/BIM/CAM,SWIG,1539,385,"tpaviot, jf---, rainman110, rsm-gh, thorade",3
lowRISC,ibex,"Ibex is a small 32 bit RISC-V CPU core, previously known as zero-riscy.",SystemVerilog,1517,597,"GregAC, rswarbrick, Atokulus, vogelpi, atraber",1
pulp-platform,axi,AXI SystemVerilog synthesizable IP modules and verification infrastructure for high-performance on-chip communication,SystemVerilog,1257,288,"andreaskurth, thommythomaso, micprog, suehtamacv, zarubaf",0
openhwgroup,cvw,"CORE-V Wally is a configurable RISC-V Processor associated with RISC-V System-on-Chip Design textbook. Contains a 5-stage pipeline, support for A, B, C, D, F, M and Q extensions, and optional caches, BP, FPU, VM/MMU, AHB, RAMs, and peripherals.",SystemVerilog,357,278,"davidharrishmc, rosethompson, jordancarlin, BBracker, kparry4",5
pulp-platform,common_cells,Common SystemVerilog components,SystemVerilog,606,161,"zarubaf, andreaskurth, niwis, stmach, FrancescoConti",0
lowRISC,opentitan,OpenTitan: Open source silicon root of trust,SystemVerilog,2785,837,"rswarbrick, msfschaffner, cindychip, timothytrippel, vogelpi",1
pulp-platform,riscv-dbg,RISC-V Debug Support for our PULP RISC-V Cores,SystemVerilog,247,83,"bluewww, zarubaf, msfschaffner, andreaskurth, Silabs-ArjanB",0
openhwgroup,cvfpu,Parametric floating-point unit with support for standard RISC-V formats and operations as well as transprecision formats.,SystemVerilog,480,129,"michael-platzer, zarubaf, lucabertaccini, davideschiavone, stmach",0
Xilinx,Vivado-Design-Tutorials,,Tcl,198,75,"DavidDye, ryanvergel, bgeorge-to, lavanyadalal",0
Digilent,digilent-xdc,A collection of Master XDC files for Digilent FPGA and Zynq boards.,Tcl,572,578,"artvvb, sbobrowicz, PhantomMachine, elodg, bg2d",0
rdbende,Sun-Valley-ttk-theme,"A gorgeous theme for Tkinter/ttk, based on the Sun Valley visual style ✨",Tcl,2202,120,"rdbende, Akuli, sumeshir26, lyraik, littlewhitecloud",2
soulmachine,machine-learning-cheat-sheet,Classical equations and diagrams in machine learning,TeX,7669,1289,"soulmachine, flytomylife, arun-prathap, ilivans, kv-gh",30
HarisIqbal88,PlotNeuralNet,Latex code for making neural networks diagrams,TeX,23222,2959,"HarisIqbal88, pedrodiamel, weslynn, mbrukman, Brandon-HY-Lin",13
posquit0,Awesome-CV,📄 Awesome CV is LaTeX template for your outstanding job application,TeX,24250,4932,"posquit0, nitrogl, OJFord, dependabot, johannesbottcher",7
sysprog21,lkmpg,The Linux Kernel Module Programming Guide (updated for 5.0+ kernels),TeX,7909,559,"jserv, linD026, fennecJ, EricccTaiwan, mechanicalamit",2
rstudio,cheatsheets,Posit Cheat Sheets - Can also be found at https://posit.co/resources/cheatsheets/.,TeX,6030,1870,"garrettgman, averiperny, mine-cetinkaya-rundel, ateucher, brendanjodowd",1
riscv,riscv-isa-manual,RISC-V Instruction Set Manual,TeX,4026,700,"wmat, aswaterman, kasanovic, kersten1, jhauser-us",2
dart-lang,language,Design of the Dart language,TeX,2750,212,"munificent, eernstg, lrhn, leafpetersen, jakemac53",1
